Authors,Publication,Journal,Date,DOI
"Turner, Kristen M; Hemmati, Homa; DuPai, Cory D; et al.", Intrinsic genomic plasticity of extrachromosomal DNA (ecDNA) enables oncogene amplified tumor cells to develop rapid acquired resistance to targeted therapy,Poster. AACR-NCI-EORTC,Oct 11-15 2023,https://boundlessbio.com/wp-content/uploads/2023/10/Genomic-Plasticity_ANE-Poster-2023.pdf
"Randall,Justin R; DuPai, Cory D; Davies, Bryan W",Discovery of Antimicrobial Peptide Macrocycles Through Bacterial Display,Methods Mol Biol,2022,https://doi.org/10.1007/978-1-0716-1689-5_15
"DuPai, Cory D; Davies, Bryan W; Wilke, Claus O",A systematic analysis of the beta hairpin motif in the Protein Data Bank,Protein Science,2021,https://doi.org/10.1002/pro.4020
"Girgis, Hany S; DuPai, Cory D; Lund, Jessica; et al.",Single-molecule nanopore sequencing reveals extreme target copy number heterogeneity in arylomycin-resistant mutants,PNAS,2021,https://doi.org/10.1073/pnas.2021958118
"Wang, Xun; Cole, Cody G; DuPai, Cory D; Davies, Bryan W",Protein aggregation is associated with Acinetobacter baumannii desiccation tolerance,Microorganisms,2020,https://doi.org/10.3390/microorganisms8030343
"DuPai, Cory D; Cunningham, Ashley L; Conrado, Aaron R; et al.",TsrA Regulates Virulence and Intestinal Colonization in Vibrio cholerae,Msphere,2020,https://doi.org/10.1128/mSphere.01014-20
"DuPai, Cory D; Wilke, Claus O; Davies, Bryan W",A Comprehensive Coexpression Network Analysis in Vibrio cholerae,Msystems,2020,https://doi.org/10.1128/mSystems.00550-20
"DuPai, Cory D; McWhite, Claire D; Smith, Catherine B; et al.",Influenza passaging annotations: what they tell us and why we should listen,Virus Evolution,2019,https://doi.org/10.1093/ve/vez016
"Tucker, Ashley T; Leonard, Sean P; DuBois, Cory D; et al.",Discovery of next-generation antimicrobials through bacterial self-screening of surface-displayed peptide libraries,Cell,2018,https://doi.org/10.1016/j.cell.2017.12.009
"Muranen, Taru; Iwanicki, Marcin P; Curry, Natasha L; Hwang, Julie; DuBois, Cory D; et al.",Starved epithelial cells uptake extracellular matrix for survival,Nature Communications,2017,https://doi.org/10.1038/ncomms13989
"Zaytouni, Tamara; Tsai, Pei-Yun; Hitchcock, Daniel S; DuBois, Cory D; et al.",Critical role for arginase 2 in obesity-associated pancreatic cancer,Nature Communications,2017,https://doi.org/10.1038/s41467-017-00331-y
